Buffet: No. AoA Cl l_bound ubound
37 3.0600 1.0268 [3.0600,3.0700]
Cruise: No. AoA Cl/Cd Cl_error
18 1.7100 30.1659 0.0002
No.   AoA         CL              CD               CM
 1   -2.0000   8.6647188e-02   1.0114280e-02   -1.2292806e-01
 2   -1.7500   1.3445420e-01   1.0114170e-02   -1.2436470e-01
 3   -1.5000   1.8187300e-01   1.0142061e-02   -1.2577640e-01
 4   -1.2500   2.2896697e-01   1.0196991e-02   -1.2713667e-01
 5   -1.0000   2.7581179e-01   1.0278510e-02   -1.2842490e-01
 6   -0.7500   3.2247804e-01   1.0385670e-02   -1.2962020e-01
 7   -0.5000   3.6904978e-01   1.0518480e-02   -1.3070370e-01
 8   -0.2500   4.1559680e-01   1.0677195e-02   -1.3164770e-01
 9   0.0000   4.6222609e-01   1.0861890e-02   -1.3242610e-01
10   0.2500   5.0904538e-01   1.1073740e-02   -1.3299850e-01
11   0.5000   5.5622305e-01   1.1314475e-02   -1.3331020e-01
12   0.7500   6.0406952e-01   1.1588560e-02   -1.3327670e-01
13   1.0000   6.5311980e-01   1.1977070e-02   -1.3295470e-01
14   1.2500   7.0355448e-01   1.2621620e-02   -1.3257190e-01
15   1.5000   7.5554495e-01   1.3688890e-02   -1.3247598e-01
16   1.6000   7.7667943e-01   1.4274500e-02   -1.3263720e-01
17   1.7000   7.9786777e-01   1.4967540e-02   -1.3295200e-01
18   1.7100   8.0022524e-01   1.5046800e-02   -1.3303640e-01
19   1.8000   8.1935178e-01   1.5773299e-02   -1.3348934e-01
20   1.9000   8.4022308e-01   1.6686611e-02   -1.3411050e-01
21   2.0000   8.6127902e-01   1.7727611e-02   -1.3498244e-01
22   2.1000   8.8221572e-01   1.8892140e-02   -1.3605770e-01
23   2.2000   9.0214409e-01   2.0159371e-02   -1.3715151e-01
24   2.3000   9.2138782e-01   2.1535169e-02   -1.3831680e-01
25   2.4000   9.3901269e-01   2.2985545e-02   -1.3933300e-01
26   2.5000   9.5620835e-01   2.4539855e-02   -1.4044796e-01
27   2.6000   9.7248862e-01   2.6177433e-02   -1.4152414e-01
28   2.7000   9.8654186e-01   2.7830720e-02   -1.4223252e-01
29   2.8000   9.9931620e-01   2.9520440e-02   -1.4275560e-01
30   2.9000   1.0109716e+00   3.1248162e-02   -1.4313125e-01
31   3.0000   1.0213079e+00   3.2992896e-02   -1.4329364e-01
32   3.0100   1.0222635e+00   3.3167522e-02   -1.4329630e-01
33   3.0200   1.0231999e+00   3.3341877e-02   -1.4329516e-01
34   3.0300   1.0241120e+00   3.3515675e-02   -1.4328881e-01
35   3.0400   1.0250148e+00   3.3689669e-02   -1.4328116e-01
36   3.0500   1.0259088e+00   3.3863864e-02   -1.4327229e-01
37   3.0600   1.0267887e+00   3.4038030e-02   -1.4326091e-01
38   3.0700   1.0276525e+00   3.4212046e-02   -1.4324649e-01
39   3.0800   1.0284989e+00   3.4385831e-02   -1.4322869e-01
40   3.0900   1.0293330e+00   3.4559622e-02   -1.4320871e-01
41   3.1000   1.0301596e+00   3.4733745e-02   -1.4318800e-01
42   3.1100   1.0309730e+00   3.4907847e-02   -1.4316496e-01
43   3.1200   1.0317740e+00   3.5081910e-02   -1.4313983e-01
44   3.1400   1.0333350e+00   3.5429676e-02   -1.4308193e-01
45   3.1600   1.0348410e+00   3.5777008e-02   -1.4301370e-01
46   3.1800   1.0363150e+00   3.6125264e-02   -1.4294170e-01
47   3.2000   1.0377190e+00   3.6472092e-02   -1.4285521e-01
48   3.3000   1.0441531e+00   3.8206232e-02   -1.4232445e-01
49   3.4000   1.0492693e+00   3.9913283e-02   -1.4154518e-01
50   3.5000   1.0535283e+00   4.1625034e-02   -1.4066542e-01
51   3.6000   1.0564839e+00   4.3300411e-02   -1.3953011e-01
52   3.7000   1.0596520e+00   4.5030045e-02   -1.3855074e-01
53   3.8000   1.0613372e+00   4.6704092e-02   -1.3729618e-01
54   3.9000   1.0628671e+00   4.8397795e-02   -1.3608052e-01
