Buffet: No. AoA Cl l_bound ubound
41 3.3800 1.0307 [3.3800,3.3800]
Cruise: No. AoA Cl/Cd Cl_error
21 2.0611 28.5888 -0.0001
No.   AoA         CL              CD               CM
 1   -2.0000   1.5279210e-02   1.0206590e-02   -1.0609600e-01
 2   -1.7500   6.3551571e-02   1.0162560e-02   -1.0775420e-01
 3   -1.5000   1.1138933e-01   1.0148950e-02   -1.0939122e-01
 4   -1.2500   1.5883450e-01   1.0164903e-02   -1.1097520e-01
 5   -1.0000   2.0597190e-01   1.0208670e-02   -1.1249020e-01
 6   -0.7500   2.5285707e-01   1.0279420e-02   -1.1391350e-01
 7   -0.5000   2.9955527e-01   1.0376880e-02   -1.1522480e-01
 8   -0.2500   3.4613380e-01   1.0500630e-02   -1.1640130e-01
 9   0.0000   3.9266415e-01   1.0650660e-02   -1.1741487e-01
10   0.2500   4.3921759e-01   1.0827970e-02   -1.1822760e-01
11   0.5000   4.8589940e-01   1.1032720e-02   -1.1878940e-01
12   0.7500   5.3285570e-01   1.1267270e-02   -1.1900830e-01
13   1.0000   5.8030117e-01   1.1556550e-02   -1.1869600e-01
14   1.2500   6.2860002e-01   1.2002429e-02   -1.1773000e-01
15   1.5000   6.7845006e-01   1.2751590e-02   -1.1638650e-01
16   1.6000   6.9904162e-01   1.3166890e-02   -1.1588832e-01
17   1.7000   7.2007045e-01   1.3654320e-02   -1.1547690e-01
18   1.8000   7.4153397e-01   1.4218910e-02   -1.1519900e-01
19   1.9000   7.6368926e-01   1.4868531e-02   -1.1514460e-01
20   2.0000   7.8620745e-01   1.5603640e-02   -1.1531277e-01
21   2.0611   7.9989090e-01   1.6096390e-02   -1.1550047e-01
22   2.1000   8.0881117e-01   1.6432070e-02   -1.1570363e-01
23   2.2000   8.3157087e-01   1.7367490e-02   -1.1637387e-01
24   2.3000   8.5422003e-01   1.8417560e-02   -1.1730522e-01
25   2.4000   8.7637400e-01   1.9587394e-02   -1.1844060e-01
26   2.5000   8.9801993e-01   2.0884980e-02   -1.1977520e-01
27   2.6000   9.1914350e-01   2.2321830e-02   -1.2129890e-01
28   2.7000   9.3841996e-01   2.3853501e-02   -1.2270272e-01
29   2.8000   9.5645014e-01   2.5491850e-02   -1.2407290e-01
30   2.9000   9.7327960e-01   2.7223593e-02   -1.2537960e-01
31   3.0000   9.8769991e-01   2.8985390e-02   -1.2629649e-01
32   3.1000   1.0015520e+00   3.0835080e-02   -1.2724350e-01
33   3.2000   1.0131010e+00   3.2680470e-02   -1.2775645e-01
34   3.3000   1.0233780e+00   3.4547490e-02   -1.2806430e-01
35   3.3200   1.0252740e+00   3.4922589e-02   -1.2809950e-01
36   3.3300   1.0262060e+00   3.5110504e-02   -1.2811486e-01
37   3.3400   1.0271300e+00   3.5298770e-02   -1.2812914e-01
38   3.3500   1.0280440e+00   3.5487350e-02   -1.2814230e-01
39   3.3600   1.0289375e+00   3.5675510e-02   -1.2815100e-01
40   3.3700   1.0298160e+00   3.5863612e-02   -1.2815679e-01
41   3.3800   1.0306876e+00   3.6052120e-02   -1.2816207e-01
42   3.3900   1.0315480e+00   3.6240763e-02   -1.2816550e-01
43   3.4000   1.0323950e+00   3.6429413e-02   -1.2816654e-01
44   3.4100   1.0332300e+00   3.6618007e-02   -1.2816530e-01
45   3.4200   1.0340480e+00   3.6806359e-02   -1.2816063e-01
46   3.4300   1.0348530e+00   3.6994668e-02   -1.2815355e-01
47   3.4400   1.0356450e+00   3.7182945e-02   -1.2814402e-01
48   3.4600   1.0372030e+00   3.7560099e-02   -1.2812156e-01
49   3.4800   1.0387030e+00   3.7936713e-02   -1.2808788e-01
50   3.5000   1.0401650e+00   3.8313834e-02   -1.2804823e-01
51   3.6000   1.0469178e+00   4.0204044e-02   -1.2776169e-01
52   3.7000   1.0526020e+00   4.2084742e-02   -1.2728452e-01
53   3.8000   1.0567250e+00   4.3922466e-02   -1.2650010e-01
54   3.9000   1.0605210e+00   4.5794880e-02   -1.2572865e-01
55   4.0000   1.0629712e+00   4.7617148e-02   -1.2470242e-01
56   4.1000   1.0654397e+00   4.9483845e-02   -1.2376661e-01
57   4.2000   1.0669532e+00   5.1318324e-02   -1.2267860e-01
